meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1229,9468,1,55,1.0,4.0,MEDIUM,0
1229,9468,1,16,1.0,4.0,MEDIUM,0
1229,9468,1,31,1.0,4.0,MEDIUM,0
1229,9468,1,10,1.0,4.0,MEDIUM,0
1229,9468,1,23,1.0,4.0,SOFT,0
1229,9468,1,3,1.0,4.0,SOFT,0
1229,9468,1,27,1.0,4.0,SOFT,0
1229,9468,1,2,1.0,4.0,SOFT,0
1229,9468,1,22,1.0,4.0,SOFT,0
1229,9468,1,24,1.0,4.0,SOFT,0
1229,9468,1,20,1.0,4.0,SOFT,0
1229,9468,1,77,1.0,4.0,SOFT,0
1229,9468,1,81,1.0,4.0,SOFT,0
1229,9468,1,18,1.0,4.0,SOFT,0
1229,9468,1,4,1.0,4.0,SOFT,0
1229,9468,1,14,1.0,4.0,SOFT,0
1229,9468,1,1,1.0,4.0,SOFT,0
1229,9468,1,63,1.0,4.0,SOFT,0
1229,9468,1,44,1.0,4.0,SOFT,0
1229,9468,1,11,1.0,4.0,SOFT,0
1229,9468,2,16,4.0,7.0,SOFT,0
1229,9468,2,31,4.0,7.0,SOFT,0
1229,9468,2,55,4.0,7.0,SOFT,0
1229,9468,2,10,4.0,7.0,SOFT,0
1229,9468,2,24,4.0,6.0,SOFT,0
1229,9468,2,27,4.0,7.0,SOFT,0
1229,9468,2,81,4.0,7.0,SOFT,0
1229,9468,2,20,4.0,7.0,SOFT,0
1229,9468,2,77,4.0,6.0,SOFT,0
1229,9468,2,23,4.0,7.0,SOFT,0
1229,9468,2,2,4.0,6.0,SOFT,0
1229,9468,2,22,4.0,7.0,SOFT,0
1229,9468,2,3,4.0,7.0,SOFT,0
1229,9468,2,18,4.0,7.0,SOFT,0
1229,9468,2,44,4.0,7.0,SOFT,0
1229,9468,2,63,4.0,6.0,SOFT,3
1229,9468,2,14,4.0,6.0,SOFT,3
1229,9468,3,31,7.0,9.0,SOFT,0
1229,9468,3,16,7.0,8.0,SOFT,0
1229,9468,2,4,4.0,5.0,SOFT,0
1229,9468,2,1,4.0,7.0,SOFT,3
1229,9468,2,11,4.0,7.0,SOFT,3
1229,9468,3,10,7.0,9.0,SOFT,0
1229,9468,3,20,7.0,10.0,SOFT,3
1229,9468,3,27,7.0,10.0,SOFT,3
1229,9468,3,81,7.0,10.0,SOFT,3
1229,9468,3,4,5.0,8.0,SOFT,1
1229,9468,3,18,7.0,10.0,SOFT,3
1229,9468,3,3,7.0,10.0,SOFT,3
1229,9468,3,22,7.0,10.0,SOFT,3
1229,9468,3,14,6.0,9.0,SOFT,0
1229,9468,3,23,7.0,10.0,SOFT,3
1229,9468,3,55,7.0,10.0,SOFT,0
1229,9468,4,16,8.0,11.0,SOFT,3
1229,9468,3,1,7.0,10.0,SOFT,0
1229,9468,3,11,7.0,10.0,SOFT,0
1229,9468,3,63,6.0,9.0,SOFT,5
