feature,importance
numeric__current_position,0.11130217441720755
numeric__prev_position,0.09311850064688205
numeric__grid_position,0.07082253928497981
numeric__gap_to_leader_seconds,0.053574031261966124
numeric__is_top3_live,0.051116394382725625
numeric__is_top10_live,0.04417507142750425
numeric__prev_gap_to_leader_seconds,0.04116381327510948
numeric__interval_value_seconds,0.039607479873679234
numeric__is_leading,0.03228862694590408
numeric__prev_interval_value_seconds,0.031071289560029042
numeric__pressure,0.024839924085766924
numeric__scheduled_laps,0.019142440973751177
numeric__humidity,0.01843294658175719
numeric__air_temperature,0.018321775498494956
numeric__track_temperature,0.017917152740948808
numeric__last_pit_duration,0.015150808727661618
numeric__laps_to_go,0.015108961369653118
numeric__net_overtakes_so_far,0.015085750588432872
numeric__race_progress_pct,0.014986861606885978
numeric__last_lane_duration,0.014954097320810517
numeric__overtakes_lost_so_far,0.014610575965672114
numeric__overtakes_made_so_far,0.014498730317521498
numeric__laps_remaining_in_stint,0.01102895063194471
categorical__team_name_McLaren,0.010337097181310269
numeric__last_stop_duration,0.010087329397220908
numeric__current_tyre_age,0.006400205844673077
categorical__team_name_Ferrari,0.0062875559616278704
categorical__compound_INTERMEDIATE,0.005828269397304034
numeric__stint_lap_index,0.00551789196439827
numeric__stint_number,0.00513702986616197
categorical__country_code_GBR,0.0050961888764399065
numeric__laps_since_last_pit,0.005042122155747492
numeric__tyre_age_at_start,0.004975616298773955
categorical__team_name_Mercedes,0.004975549824248795
categorical__country_code_Unknown,0.004835241418427292
categorical__team_name_Alpine,0.004617965513383349
categorical__year_2024,0.004554655877104191
categorical__circuit_short_name_Montreal,0.004550410130116563
categorical__year_2025,0.004416403880677618
categorical__country_name_Canada,0.004387950255391436
categorical__team_name_Kick Sauber,0.004293751180136669
numeric__pit_count_so_far,0.003900429612085096
categorical__team_name_Red Bull Racing,0.0038378213674454533
categorical__country_code_NED,0.003814020952990181
categorical__team_name_Williams,0.003662155300433632
categorical__circuit_short_name_Zandvoort,0.0032213080036277383
categorical__compound_HARD,0.0031611823299457996
categorical__country_name_Azerbaijan,0.0031038205727474903
categorical__circuit_short_name_Baku,0.0030727831991125844
categorical__country_name_Netherlands,0.0030532471509494598
categorical__circuit_short_name_Shanghai,0.0030228801168138125
categorical__country_name_China,0.002936208349121991
categorical__country_name_United Kingdom,0.0028434750475367114
categorical__gap_status_UNKNOWN,0.002829583654411468
categorical__team_name_Aston Martin,0.0028069562715255423
categorical__team_name_Haas F1 Team,0.0026867624066873757
categorical__circuit_short_name_Silverstone,0.0026118368605729547
categorical__compound_MEDIUM,0.0025108186000265243
numeric__is_first_stint,0.0021445815303541022
categorical__gap_status_KNOWN,0.0021412263125274718
numeric__rainfall,0.0019450430527023321
categorical__country_code_MON,0.0018632603373231313
numeric__is_wet_track,0.00175956232898385
categorical__country_name_Australia,0.0017459569201429786
categorical__country_name_United States,0.0016580276193871278
categorical__circuit_short_name_Melbourne,0.001612517969569717
categorical__country_code_FIN,0.0014739252092847224
categorical__circuit_short_name_Interlagos,0.0014212559406830913
categorical__country_name_Brazil,0.0014182735704574398
categorical__country_code_CHN,0.0014182543325234533
categorical__country_name_Hungary,0.0014178799560117322
categorical__country_name_Austria,0.0013945948287487399
categorical__country_name_Italy,0.001346016156604125
categorical__circuit_short_name_Hungaroring,0.001338647299012173
categorical__event_type_GRAND_PRIX_RACE,0.0013239214753437715
categorical__event_type_SPRINT_RACE,0.0013108855141215439
categorical__circuit_short_name_Spielberg,0.0013053146222014092
categorical__country_code_ESP,0.0013043704315878247
categorical__team_name_Racing Bulls,0.0012777047241349106
categorical__country_code_FRA,0.001235785442334491
categorical__country_code_MEX,0.0012126973336359019
categorical__circuit_short_name_Miami,0.0011718817297321537
categorical__circuit_short_name_Monte Carlo,0.001094400562081953
categorical__country_code_AUS,0.0010644820646968736
categorical__country_name_Monaco,0.0010318276359054064
categorical__circuit_short_name_Mexico City,0.0009999554261265245
categorical__circuit_short_name_Catalunya,0.0009683968794578724
categorical__circuit_short_name_Sakhir,0.0009083888070190336
categorical__circuit_short_name_Jeddah,0.0008938651646789062
categorical__country_name_Mexico,0.0008847990734575258
categorical__country_name_Saudi Arabia,0.0008653782335310001
categorical__country_name_Bahrain,0.0008497730620821148
categorical__country_name_Spain,0.0008365799150732156
categorical__circuit_short_name_Monza,0.0008017492082229234
categorical__circuit_short_name_Yas Marina Circuit,0.0007915509873898929
categorical__team_name_RB,0.0007614540020209731
categorical__country_name_United Arab Emirates,0.000749436752248631
categorical__circuit_short_name_Lusail,0.0007484525846580112
categorical__country_name_Qatar,0.0007365979266967987
categorical__circuit_short_name_Austin,0.0007209048233100876
categorical__country_code_THA,0.0007172395806381204
numeric__track_temp_delta_prev_lap,0.0007155814978316235
categorical__compound_SOFT,0.0006590715611270017
categorical__circuit_short_name_Spa-Francorchamps,0.0006498547748185248
numeric__position_change_direction,0.0006404075490081517
numeric__position_delta_prev_lap,0.0006283199182869891
categorical__country_code_DEN,0.0006242434239930821
categorical__country_name_Belgium,0.0006129026352912411
categorical__circuit_short_name_Imola,0.0005972198616472778
categorical__country_name_Singapore,0.0005774263110019282
categorical__country_code_CAN,0.0004898754319822686
categorical__circuit_short_name_Singapore,0.00048782777175636257
categorical__country_code_GER,0.00043332885211175694
categorical__country_name_Japan,0.0004200417546087306
numeric__prev_lap_overtakes_made,0.0004104665356926724
categorical__circuit_short_name_Suzuka,0.00038693731927480767
categorical__country_code_JPN,0.000323540294375889
numeric__prev_lap_overtakes_lost,0.0003126590713779555
categorical__interval_status_UNKNOWN,0.00029534486810886546
categorical__country_code_NZL,0.0002929396219916588
categorical__circuit_short_name_Las Vegas,0.0002820080436956077
categorical__interval_status_KNOWN,0.0002802449972261166
categorical__country_code_USA,0.00027656115680106815
categorical__country_code_ARG,0.00012124710098576024
numeric__is_pit_out_lap,5.3580772818955727e-05
numeric__is_outlier_lap,2.612924301546897e-05
categorical__compound_WET,0.0
categorical__compound_UNKNOWN,0.0
